Stadt,"Post-leitzahl 1)","Fläche in km2 2)",männlich
"Rödermark, Stadt",63322,29.99,13468
"Geislingen an der Steige, Stadt",73312,75.83,13744
"Verden (Aller), Stadt",27283,71.7,13341
"Emmendingen, Stadt",79312,33.78,13301
"Reinbek, Stadt",21465,31.23,13460
"Olching, St",82140,29.92,13332
"Hattersheim am Main, Stadt",65795,15.81,13634
"Sangerhausen, Stadt",6526,207.66,13363
"Mechernich, Stadt",53894,136.48,13616
"Rheinbach, Stadt",53359,69.72,13530
"Neukirchen-Vluyn, Stadt",47506,43.5,13174
"Wangen im Allgäu, Stadt",88239,101.35,13207
"Overath, Stadt",51491,68.88,13375
"Griesheim, Stadt",64347,21.55,13567
"Leimen, Stadt",69181,20.64,13297
"Baesweiler, Stadt",52499,27.76,13197
"Geilenkirchen, Stadt",52511,83.2,13415
"Hamminkeln, Stadt",46499,164.53,13396
"Schloß Holte-Stukenbrock, Stadt",33758,67.52,13170
"Weinstadt, Stadt",71384,31.71,13144
"Wiesloch, Stadt",69168,30.24,13194
"Lohne (Oldenburg), Stadt",49393,91.11,13495
"Strausberg, Stadt",15344,67.95,12698
"Neckarsulm, Stadt",74172,24.94,13106
"Lauf a.d.Pegnitz, St",91207,59.77,12860
"Eisenhüttenstadt, Stadt",15890,63.47,12771
"Nordenham, Stadt",26954,87.77,13059
"Köthen (Anhalt), Stadt",6366,78.44,12841
"Staßfurt, Stadt",39418,146.71,12734
"Hennigsdorf, Stadt",16761,31.47,12816
"St. Wendel, Kreisstadt",66606,113.53,12808
"Heiligenhaus, Stadt",42579,27.52,12742
"Ilmenau, Stadt",98693,62.73,13484
"Remseck am Neckar, Stadt",71686,22.82,12761
"Butzbach, Friedrich-Ludwig-Weidig-Stadt",35510,106.6,12889
"Kulmbach, GKSt",95326,92.77,12498
"Mühlacker, Stadt",75417,54.32,12817
"Ehingen (Donau), Stadt",89584,178.33,13044
"Lennestadt, Stadt",57368,135.59,12957
"Heppenheim (Bergstraße), Kreisstadt",64646,52.14,12726
"Zittau, Stadt",2763,66.75,12564
"Selm, Stadt",59379,60.41,12525
"Bad Honnef, Stadt",53604,48.17,12349
"Hohen Neuendorf, Stadt",16540,48.56,12470
"Teltow, Stadt",14513,21.6,12605
"Brilon, Stadt",59929,229.16,12541
"Weiterstadt, Stadt",64331,34.4,12936
"Lübbecke, Stadt",32312,65.04,12413
"Plettenberg, Stadt",58840,96.76,12728
"Rinteln, Stadt",31737,109.02,12517
"Zirndorf, St",90513,28.79,12310
"Verl, Stadt",33415,71.37,13019
"Bingen am Rhein, Stadt",55411,37.71,12518
"Pfaffenhofen a.d.Ilm, St",85276,92.64,12663
"Werder (Havel), Stadt",14542,117.05,12508
"Petershagen, Stadt",32469,211.94,12752
"Achern, Stadt",77855,65.24,12563
"Friedrichsdorf, Stadt",61381,30.16,12472
"Lindau (Bodensee), GKSt",88131,33.06,12111
"Ludwigsfelde, Stadt",14974,109.98,12479
"Rottweil, Stadt",78628,71.76,12395
"Norden, Stadt",26506,106.32,12270
"Wiehl, Stadt",51674,53.26,12212
"Salzkotten, Stadt",33154,109.8,12421
"Roth, St",91154,96.33,12245
"Warstein, Stadt",59581,158.03,12525
"Sprockhövel, Stadt",45549,47.94,12074
"Bad Oldesloe, Stadt",23843,52.6,12180
"Ingelheim am Rhein, Stadt",55218,49.86,12337
"Schmallenberg, Stadt",57392,303.1,12689
"Saalfeld/Saale, Stadt",7318,48.73,11992
"Harsewinkel, Die Mähdrescherstadt",33428,100.59,12584
"Delitzsch, Stadt",4509,85.92,12140
"Weingarten, Stadt",88250,12.16,11890
"Schleswig, Stadt",24837,24.3,12071
"Senftenberg, Stadt",1968,127.56,12063
"Espelkamp, Stadt",32339,84.21,12092
"Ditzingen, Stadt",71254,30.38,12265
"Groß-Gerau, Stadt",64521,54.48,12283
"Horb am Neckar, Stadt",72160,119.76,12481
"Pfungstadt, Stadt",64319,42.53,12140
"Ellwangen (Jagst), Stadt",73479,127.38,12466
"Obertshausen, Stadt",63179,13.62,11976
"Idstein, Hochschulstadt",65510,79.69,11842
"Lüdinghausen, Stadt",59348,140.54,12215
"Meckenheim, Stadt",53340,34.84,11989
"Olpe, Stadt",57462,85.88,11931
"Geretsried, St",82538,24.6,12056
"Markkleeberg, Stadt",4416,31.44,11693
"Quedlinburg, Welterbestadt",6484,120.44,11618
"Arnstadt, Stadt",99310,55.08,11859
"Syke, Stadt",28857,128.11,12018
"Attendorn, Hansestadt",57439,97.95,12161
"Rathenow, Stadt",14712,113.1,11772
"Salzwedel, Hansestadt",29410,304.58,12028
"Stutensee, Stadt",76297,45.68,11980
"Übach-Palenberg, Stadt",52531,26.12,12167
"Limbach-Oberfrohna, Stadt",9212,50.21,11701
"Ronnenberg, Stadt",30952,37.89,11936
"Eisleben, Lutherstadt",6295,143.87,11692
"Varel, Stadt",26316,113.75,11646
"Waldshut-Tiengen, Stadt",79761,77.97,11738
"Döbeln, Stadt",4720,91.74,11698
"Sonneberg, Stadt",96515,84.69,11551
"Hann. Münden, Stadt",34346,121.16,11721
"Öhringen, Stadt",74613,67.79,11862
"Haren (Ems), Stadt",49733,208.79,11988
"Sehnde, Stadt",31319,103.58,11891
"Korbach, Hansestadt, Kreisstadt",34497,123.98,11483
"Bedburg, Stadt",50181,80.42,11906
"Dillenburg, Stadt",35683,83.89,11614
"Warburg, Hansestadt",34414,168.84,11591
"Netphen, Stadt",57250,137.39,11682
"Riedstadt, Stadt",64560,73.73,11618
"Helmstedt, Stadt",38350,47.14,11347
"Bad Mergentheim, Stadt",97980,129.96,11265
"Starnberg, St",82319,61.85,10904
"Calw, Stadt",75365,59.88,11726
"Walsrode, Stadt",29664,272.29,11433
"Mosbach, Stadt",74821,62.17,11457
"Husum, Stadt",25813,25.81,11075
"Herzogenaurach, St",91074,47.62,11594
"Wertheim, Stadt",97877,138.59,11488
"Waldkraiburg, St",84478,21.56,11484
"Glauchau, Stadt",8371,51.62,11276
"Burg, Stadt",39288,164.05,11552
"Gardelegen, Hansestadt",39638,632.43,11411
"Gelnhausen, Barbarossast., Krst.",63571,45.19,11224
"Freudenstadt, Stadt",72250,87.54,11059
"Herdecke, Stadt",58313,22.39,10841
"Spremberg, Stadt",3130,202.32,11065
"Rudolstadt, Stadt",7407,55.41,11019
"Vreden, Stadt",48691,135.83,11533
"Überlingen, Stadt",88662,58.66,10517
"Lengerich, Stadt",49525,90.79,11145
"Leutkirch im Allgäu, Stadt",88299,174.98,11298
"Radevormwald, Stadt auf der Höhe",42477,53.86,10961
"Westerstede, Stadt",26655,179.55,10972
"Bad Soden am Taunus, Stadt",65812,12.55,10695
"Donaueschingen, Stadt",78166,104.67,11322
"Weilheim i.OB, St",82362,55.5,10746
"Apolda, Stadt",99510,46.27,10966
"Karben, Stadt",61184,43.94,11079
"Stadthagen, Stadt",31655,60.27,10705
"Senden, St",89250,25.21,10818
"Gersthofen, St",86368,34.01,10984
"Friesoythe, Stadt",26169,247.49,11134
"Osterode am Harz, Stadt",37520,102.54,10900
"Sondershausen, Stadt",99706,201.21,10787
"Bad Harzburg, Stadt",38667,65.52,10260
"Nagold, Stadt",72202,63.09,10921
"Eckernförde, Stadt",24340,21.38,10429
"Büdingen, Stadt",63654,122.88,11010
"Bad Kissingen, GKSt",97688,69.92,10078
